Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,57.16666667,85,196,351.3333333,573.6666667,820.1666667,704.1666667,562.3333333,591.5,439.8333333,602.5,94,
2016,106,171,,,,,,,,,,,277
2015,72,75,348,388,689,928,878,670,687,607,415,130,"5,887"
2014,70,90,204,342,711,"1,429",761,635,704,703,"1,634",119,"7,402"
2013,74,125,187,358,533,886,697,721,565,164,350,135,"4,795"
2012,106,178,298,335,509,632,551,409,455,309,530,72,"4,384"
2011,21,42,139,375,456,481,662,405,533,371,378,72,"3,935"
2010,0,0,0,310,544,565,676,534,605,485,308,36,"4,063"
