Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,13.5,10.5,23.5,52.25,27.5,52.25,82.75,172.5,52,58.5,42.25,35.5,
1983,16,14,28,60,29,41,71,174,45,56,45,35,614
1982,11,10,22,54,27,46,70,130,43,55,40,28,536
1981,16,13,28,62,30,55,97,198,59,55,40,27,680
1980,13,10,20,59,29,56,82,198,54,65,49,51,686
1979,14,9,24,34,24,52,82,164,52,59,40,36,590
